skill_name,sub_skill_of,kind,category,Skillfulness (1-10),description,url
docker,,hard,software tools,1,,
deep learning,machine learning,hard,analytics,5,,
FPGA,circuit design,hard,electronics,5,Field Programable Gate Array chips,
motorized mechanisms,,hard,hardware design,5,,
SQL,,hard,programming languages,5,,
HTML,,hard,programming languages,5,,
CSS,,hard,programming languages,5,,
Verilog,,hard,programming languages,5,,
VHDL,,hard,programming languages,5,,
wxMaxima,,hard,software apps,5,Computer algebra system (CAS) for symbolic math calculations.,http://wxmaxima-developers.github.io/wxmaxima/
PyTorch,Python,hard,software tools,5,,
SciPy,Python,hard,software tools,5,,
SQLite,,hard,software tools,5,,
git,,hard,software tools,5,,
GitHub,,hard,software tools,5,,
microcontrollers,circuit design,hard,electronics,6,,
Linux,,hard,operating systems,6,,
FreeCAD,,hard,software apps,6,General purpose 3D CAD modeler.,https://www.freecad.org/
Monte Carlo simulations,,hard,analytics,7,,
circuit design,,hard,electronics,7,,
analog design,circuit design,hard,electronics,7,,
digital design,circuit design,hard,electronics,7,,
PCB layout,circuit design,hard,electronics,7,,
3D printing,,hard,hardware design,7,,
C++,,hard,programming languages,7,,
LaTeX,,hard,programming languages,7,,
OpenSCAD,,hard,software apps,7,3D CAD modeler for programmers.,https://openscad.org/
KiCad,,hard,software apps,7,Electronic design automation (EDA) for circuit and PCB design.,https://www.kicad.org/
statistics,,hard,analytics,8,,
machine learning,,hard,analytics,8,,
data visualization,,hard,analytics,8,,
data modeling,,hard,analytics,8,,
firmware,circuit design,hard,electronics,8,,
C,,hard,programming languages,8,,
pandas,Python,hard,software tools,8,,
NumPy,Python,hard,software tools,8,,
plotly,Python,hard,software tools,8,"Plotting library, similar to matplotlib, which produces modern and interactive plots.",
matplotlib,Python,hard,software tools,8,,
automation,,hard,,8,,
Excel,,hard,software apps,8,"Also Google Sheets, LibreOffice Calc, etc.",
Ubuntu,,hard,operating systems,9,,
Python,,hard,programming languages,9,,
laboratory instrumentation,,hard,research,9,,
Inkscape,,hard,software apps,9,Vector graphics software for graphical design.,https://inkscape.org/
team player,,soft,,5,,
analytical thinking,,soft,,10,,
creative thinking,,soft,,7,,
lifelong learning,,soft,,9,,
leadership,,soft,,8,,
problem solving,,soft,,7,,
communication,,soft,,6,,
